Symbol
ACS
ACX
AENA
AMS
ANA
BBVA
BKT
CABK
CLNX
COL
ELE
ENG
FDR
FER
GRF
IAG
IBE
IDR
ITX
LOG
MAP
MEL
MRL
MTS
NTGY
PHM
RED
REP
ROVI
SAB
SAN
SCYR
SLR
TEF
UNI
