Symbol
AI
AIR
ALO
ATO
BN
BNP
CA
CAP
CS
DG
DSY
EL
EN
ENGI
ERF
GLE
HO
KER
LR
MC
ML
MT
OR
ORA
PUB
RI
RMS
RNO
SAF
SAN
SGO
STLA
STMPA
SU
SW
TTE
URW
VIE
VIV
WLN
