Symbol
NESN-SW
ROG-SW
NOVN-SW
CFR-SW
ZURN-SW
UBSG-SW
ABBN-SW
LONN-SW
SIKA-SW
ALC-SW
GIVN-SW
HOLN-SW
SCMN-SW
PGHN-SW
SREN-SW
SOON-SW
GEBN-SW
SLHN-SW
LOGN-SW
KNIN-SW
