Symbol
III
ABF
AHT
ANTO
AUTO
AV.
ABN
AZN
BA.
BARC
BDEV
BEZ
BKG
BP.
BATS
BLND
BT.A
BNZL
BRBY
CCH
CPG
CNA
CRH
CRDA
DCC
DGE
DPLM
EDV
ENT
EXPN
FCIT
FRAS
FRES
GLEN
GSK
HLN
HLMA
HSBA
IHG
IMB
IMI
INF
ICP
ITRK
IAG
JD.
KGF
LAND
LGEN
LLOY
LSEG
MNG
MKS
MNDI
NG.
NWG
NXT
PSON
PSH
PSN
PHNX
PRU
RKT
REL
RTO
RMV
RIO
RS1
RR.
SGE
SBRY
SDR
SMT
SGRO
SVT
SHEL
SN.
SMDS
SMIN
SKG
SPX
SSE
STJ
STAN
SLA
TW.
TSCO
ULVR
UTG
UU.
VOD
WEIR
WTB
WPP
