Symbol
0001
0002
0003
0005
0006
0011
0012
0016
0017
0027
0066
0101
0175
0241
0267
0288
0316
0386
0388
0669
0688
0700
0762
0823
0857
0883
0939
0941
0968
1038
1044
1093
1109
1113
1177
1211
1299
1398
1810
1876
1928
1997
2007
2018
2269
2313
2318
2328
2382
2388
2628
3328
3690
3968
6098
6862
9618
9988
9999
