Symbol
BHP
CBA
CSL
NAB
WBC
ANZ
WES
MQG
FMG
WOW
RIO
TLS
ALL
WDS
COL
SHL
QBE
TCL
GMG
REA
ASX
STO
ORG
MIN
JHX
RMD
IAG
APA
MPL
AMC
NCM
CPU
SOL
S32
AGL
XRO
CGF
COH
SEK
BSL
ALD
EVN
NHF
JBH
ORI
GPT
QAN
MGR
DXS
SGP
