Symbol
A2A
AMP
AZM
BGN
BMED
BAMI
BPE
BZU
CPR
DIA
ENEL
ENI
ERG
FBK
G
HER
IG
INW
IP
ISP
IVG
LDO
MB
MONC
NEXI
PIRC
PRY
PST
REC
RACE
SPM
SRG
STLA
STM
TEN
TIT
TRN
UCG
UNI
