Symbol
1COV
ADS
AIR
ALV
BAS
BAYN
BEI
BMW
BNR
CBK
CON
1COV
DB1
DBK
DHL
DTE
DTG
ENR
EOAN
FME
FRE
HEI
HEN3
IFX
LIN
MBG
MRK
MTX
MUV2
PAH3
PUM
QIA
RWE
SAP
SHL
SIE
SRT3
SY1
VNA
VOW3
ZAL
