Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
SBAC,SBA Communications Corporation,201.07,USD,-1.3395485770363191,213690,0.20230718617013724,21913108965,USD,31.71801302982979,6.3393,USD,39.496963295484534,1.92345,Finance,Buy
VOD,Vodafone Group Plc,8.475,USD,-0.17667844522968867,4325766,0.5433389236881028,21802460255.870697,USD,8.275559027438726,1.0241,USD,-74.08653846153847,8.19755,Communications,Neutral
FOX,Fox Corporation,46.02,USD,0.6121556624398801,379418,0.3408192334374337,21650925064.188457,USD,11.245784663506184,4.0922,USD,100.8146039846894,1.15872,Consumer services,Buy
FOXA,Fox Corporation,48.77,USD,0.39110745162619354,1116545,0.2811036452197551,21603357270.651093,USD,11.917794829187235,4.0922,USD,100.8146039846894,1.09098,Consumer services,Buy
RYAAY,Ryanair Holdings plc,42.92,USD,-1.5370497820601092,380916,0.4309709484153177,21566834821.103996,USD,5.932027697538458,7.2353,USD,71.55830606534833,1.71155,Transportation,Buy
WDC,Western Digital Corporation,61.98,USD,3.940969310749613,3274209,0.584503752376314,21427009188.947845,USD,37.834208277377606,1.6382,USD,,0,Electronic technology,Buy
NTRA,"Natera, Inc.",159.8,USD,0.9475679090334806,443216,0.3971246418323989,21096926322.300697,USD,,-1.7738,USD,60.699251118890416,0,Health technology,Buy
ALAB,"Astera Labs, Inc.",131.78,USD,-0.5058512646281521,2537992,0.5298240748893869,20901738003.531296,USD,,-0.6026,USD,-54.394055854470935,0,Electronic technology,Strong buy
ILMN,"Illumina, Inc.",130.58,USD,-2.2824216119134797,802570,0.3084806957702779,20709989553.709503,USD,,-9.9963,USD,-40.393528271677766,0,Health technology,Buy
TER,"Teradyne, Inc.",126.225,USD,0.24221728081320887,853502,0.33853229400130114,20557188178.241737,USD,40.15173203549957,3.1437,USD,2.9641032359491692,0.381194,Electronic technology,Buy
NTRS,Northern Trust Corporation,102.9,USD,0.39024390243902995,481283,0.4229136431329861,20396682683.24195,USD,12.811254980079681,8.032,USD,52.47930746449997,2.92683,Finance,Neutral
ONC,"BeiGene, Ltd.",181.86,USD,,68643,,20379857506.754997,USD,,,,,0,Health technology,Strong buy
CHKP,Check Point Software Technologies Ltd.,184.945,USD,-0.9400107123727882,372469,0.6161445626878778,20340714202.47812,USD,25.30477376277587,7.3087,USD,2.0967786997457623,0,Technology services,Buy
ULTA,"Ulta Beauty, Inc.",428.43,USD,-1.4944933667486722,429371,0.5774758190885729,19867386772.19281,USD,17.140628125625124,24.995,USD,1.4020625248484793,0,Retail trade,Buy
FSLR,"First Solar, Inc.",184.595,USD,4.740694507489781,1178850,0.6785386320647363,19762322585.621597,USD,15.901572971762315,11.6086,USD,163.04269011148372,0,Electronic technology,Buy
ZBRA,Zebra Technologies Corporation,382.225,USD,-1.0343845476671338,175659,0.5326748093658629,19715176468.359158,USD,51.87424507688341,7.3683,USD,-17.877244407788424,0,Electronic technology,Buy
KSPI,Joint Stock Company Kaspi.kz - American Depository Shares,98.6,USD,4.107274838982157,144201,0.6122724534079604,19711297140.726,USD,8.963717851980471,10.9999,USD,23.162620924399853,7.6709,Finance,Buy
VRSN,"VeriSign, Inc.",204.89,USD,-1.0001932740626311,554163,0.7667851651617745,19689929325.70936,USD,23.83633677303768,8.5957,USD,22.575079143256435,0,Technology services,Buy
AFRM,"Affirm Holdings, Inc.",61.96,USD,1.740558292282434,3858099,0.5952082430246022,19458916216.45583,USD,,-1.4291,USD,53.03184671508857,0,Finance,Buy
ERIE,Erie Indemnity Company,409.06,USD,-0.768988186206733,35827,0.2462426466393621,19050075177.00755,USD,38.53893840327109,10.6142,USD,39.57237534188934,1.23717,Finance,Buy
SSNC,"SS&C Technologies Holdings, Inc.",75.3439,USD,-0.5754816574293958,243249,0.23088501508802997,18661562584.070545,USD,26.960531024117945,2.7946,USD,15.16999793941892,1.29322,Technology services,Buy
DOCU,"DocuSign, Inc.",90.4,USD,0.5114520791638959,966632,0.27059193567548945,18262893037.41161,USD,18.621513615951883,4.8546,USD,1844.1730076091308,0,Technology services,Neutral
STX,Seagate Technology Holdings PLC,85.95,USD,-0.41710114702815365,1109954,0.43414748225681093,18180960913.373306,USD,22.472938346493752,3.8246,USD,,3.26729,Electronic technology,Buy
MDB,"MongoDB, Inc.",243.9282,USD,4.775653966754006,1989685,0.8315225352162708,18165478321.253197,USD,,-2.7442,USD,-3.9824182486453785,0,Technology services,Buy
COO,"The Cooper Companies, Inc.",90.685,USD,-1.3542913086043777,489777,0.39267096299980714,18099150530.372944,USD,46.36721546170365,1.9558,USD,32.497798252150936,0,Health technology,Buy
CG,The Carlyle Group Inc.,50.54,USD,0.09902951079421105,1041820,0.5918949222037863,18077210667.78966,USD,170.39784221173298,0.2966,USD,-48.30951551063089,2.77283,Finance,Buy
PODD,Insulet Corporation,255.53,USD,-2.1220362354923936,239324,0.43870922800968254,17924094958.433563,USD,43.45157121480071,5.8808,USD,250.77840739636144,0,Health technology,Buy
DKNG,DraftKings Inc.,36.2733,USD,-2.491129032258075,4377139,0.5570375907623015,17687867902.971733,USD,,-0.8668,USD,60.376668495154505,0,Consumer services,Strong buy
PFG,Principal Financial Group Inc,77.33,USD,-0.10334582095336299,317037,0.2720081459077032,17687371636.287045,USD,,-0.9237,USD,-115.21696154986655,3.6817,Finance,Neutral
SMCI,"Super Micro Computer, Inc.",30.1454,USD,-1.097769028871397,17528084,0.43715630626898344,17652098319.4337,USD,15.146158870522031,1.9903,USD,73.94686243663693,0,Electronic technology,Neutral
ICLR,ICON plc,212.045,USD,1.1134423728005243,309069,0.4027241004578824,17506300967.86071,USD,23.612766004832906,8.9801,USD,44.65134260079574,0,Commercial services,Strong buy
JBHT,"J.B. Hunt Transport Services, Inc.",170.76,USD,0.058596038907766504,222816,0.3211949670575363,17217723665.822105,USD,31.016819849602207,5.5054,USD,-25.78823212239671,1.00785,Transportation,Buy
STLD,"Steel Dynamics, Inc.",112.9,USD,-1.0256859822915643,524943,0.3534814498380273,17188459903.18489,USD,10.218581707924152,11.0485,USD,-29.12403374282323,1.61304,Non-energy minerals,Neutral
TRMB,Trimble Inc.,69.505,USD,-1.6345881686951618,648915,0.5689612633050475,16973650888.571611,USD,11.617081731572789,5.983,USD,345.9268092718193,0,Technology services,Buy
GEN,Gen Digital Inc.,27.435,USD,0.20087655222790257,988862,0.2584106504505335,16908067408.2332,USD,27.963510345530526,0.9811,USD,-55.39643571558466,1.82615,Technology services,Buy
ZG,"Zillow Group, Inc.",69.685,USD,-1.644318983768514,319127,0.6932594208830044,16839688613.747566,USD,,-0.5702,USD,14.691801316576894,0,Technology services,Buy
Z,"Zillow Group, Inc.",72.77,USD,-1.7285617825793398,1186815,0.5504322795975124,16825265222.182713,USD,,-0.5702,USD,14.691801316576894,0,Technology services,Buy
CYBR,CyberArk Software Ltd.,338.15,USD,1.5008254539997,548651,1.3237986546089777,16667960439.227974,USD,1450.6649506649505,0.2331,USD,,0,Technology services,Strong buy
MANH,"Manhattan Associates, Inc.",268.44,USD,-0.666074600355244,129942,0.34482465800681994,16395047365.349913,USD,76.28303495311168,3.519,USD,32.96304692813422,0,Technology services,Buy
DLTR,"Dollar Tree, Inc.",76.13,USD,1.5879370162796873,1976518,0.6906759491177914,16370891835.289967,USD,,-4.7714,USD,-190.66793349168645,0,Retail trade,Buy
NTNX,"Nutanix, Inc.",60.86,USD,-0.5230467473030407,1197846,0.5701388557031972,16306113569.556393,USD,,-0.3588,USD,50.78864353312302,0,Technology services,Buy
HOLX,"Hologic, Inc.",71.7,USD,-0.5409904286308789,580707,0.2224718705965649,16271684872.471909,USD,21.591182847506623,3.3208,USD,81.56369600874797,0,Health technology,Buy
WMG,Warner Music Group Corp.,31.23,USD,0.7419354838709692,1061320,0.7838228742870176,16176956382.711292,USD,37.66280752532561,0.8292,USD,1.0972933430870528,2.25806,Commercial services,Buy
NWS,News Corporation,30.335,USD,-0.3121919158724905,172385,0.2792457634861198,16159206192.623234,USD,48.935312147120506,0.6199,USD,157.5405068550062,0.657246,Consumer services,Strong buy
NWSA,News Corporation,27.445,USD,-0.34495279593318395,785591,0.37251886953453534,16153895715.583696,USD,44.27326988223907,0.6199,USD,157.5405068550062,0.726216,Consumer services,Buy
MRNA,"Moderna, Inc.",41.87,USD,0.6974506974506954,3706321,0.4230767246314529,16112322416.832369,USD,,-5.8247,USD,37.61901191993403,0,Health technology,Neutral
UTHR,United Therapeutics Corporation,360.55,USD,2.1851264029021755,140375,0.4015285975603652,16096581449.13488,USD,15.834709437144262,22.7696,USD,25.441283413032473,0,Health technology,Buy
MBLY,Mobileye Global Inc.,19.6793,USD,-1.208333333333335,4212027,0.6594703327225944,15960859451.273333,USD,,-3.6467,USD,-4775.267379679144,0,Technology services,Buy
AZPN,"Aspen Technology, Inc.",249.44,USD,-0.07611264671714046,304746,0.6389535072665535,15777009894.399872,USD,,-0.5666,USD,72.08866995073892,0,Technology services,Buy
ALGN,"Align Technology, Inc.",208.095,USD,-0.19903122152414374,310830,0.42996232797979533,15534928301.537073,USD,35.479003631527796,5.8653,USD,24.399244946870567,0,Health technology,Buy
SOFI,"SoFi Technologies, Inc.",14.105,USD,-8.409090909090908,62634629,1.5426037958139447,15305995948.306818,USD,119.23076923076923,0.1183,USD,,0,Finance,Neutral
RPRX,Royalty Pharma plc,25.71,USD,0.7840062720501737,654725,0.19615588689364993,15149171985.308117,USD,10.056718169372187,2.5565,USD,538.8055972013995,3.29283,Health technology,Strong buy
LNT,Alliant Energy Corporation,58.71,USD,-0.7270882651335808,388090,0.29321011089460397,15064939618.70291,USD,22.79203385224582,2.5759,USD,-5.768949370793099,3.24653,Utilities,Neutral
FLEX,Flex Ltd.,38.64,USD,0.6512112529304506,897052,0.27174583609998676,14983952164.276115,USD,17.139815471965935,2.2544,USD,30.447864830459437,0,Electronic technology,Strong buy
FTAI,FTAI Aviation Ltd.,144.14,USD,0.06942515967786331,1131541,0.6842065514197815,14781510563.783949,USD,,-0.1037,USD,-108.54341736694677,0.833102,Electronic technology,Strong buy
